# X Y dX dY
0 3.237236531	0	0.389324171
0.663533085	3.452401165	0.263807617	0.423305182
0.851137248	3.6434415	0.187941331	0.275330569
0.910061565	3.651564338	0.121851298	0.748307895
1.167816008	3.383081577	0.272042707	0.43769175
1.18479337	3.474046122	0.079102041	0.626379348
1.296498625	3.298403053	0.162486009	0.573296337
3.022030825	3.153401504	0.323296075	0.18593227
5.304771525	3.126361164	0.47212613	0.186591696
#8.380121225	3.523868404	0.565945692	0.855773596
