# <rho_{sl}>  <kappa>  95CI(rho_{sl})  95CI(kappa)  
0.0866	0.26	0.0003	0.02
0.1227	0.31	0.0003	0.03
0.1384	0.41	0.0004	0.02
0.2014	0.48	0.0005	0.04

